Date,Borough,Unique
2010,BRONX,2067
2010,BROOKLYN,3399
2010,MANHATTAN,2867
2010,QUEENS,1569
2010,STATEN ISLAND,632
2011,BRONX,2174
2011,BROOKLYN,3671
2011,MANHATTAN,2461
2011,QUEENS,1600
2011,STATEN ISLAND,548
2012,BRONX,2125
2012,BROOKLYN,3600
2012,MANHATTAN,2857
2012,QUEENS,1522
2012,STATEN ISLAND,538
2013,BRONX,2120
2013,BROOKLYN,3300
2013,MANHATTAN,3018
2013,QUEENS,1660
2013,STATEN ISLAND,641
2014,BRONX,2743
2014,BROOKLYN,3968
2014,MANHATTAN,3541
2014,QUEENS,1748
2014,STATEN ISLAND,617
2015,BRONX,3201
2015,BROOKLYN,5264
2015,MANHATTAN,4124
2015,QUEENS,2103
2015,STATEN ISLAND,594
2016,BRONX,3497
2016,BROOKLYN,5979
2016,MANHATTAN,4610
2016,QUEENS,2410
2016,STATEN ISLAND,734
2017,BRONX,3746
2017,BROOKLYN,7253
2017,MANHATTAN,4507
2017,QUEENS,2862
2017,STATEN ISLAND,784
2018,BRONX,3134
2018,BROOKLYN,6565
2018,MANHATTAN,4295
2018,QUEENS,2605
2018,STATEN ISLAND,745
2019,BRONX,2557
2019,BROOKLYN,5923
2019,MANHATTAN,4000
2019,QUEENS,2346
2019,STATEN ISLAND,701